year,month,biomasa_mt
2012,1,0.063
2012,2,0.094
2012,3,0.188
2012,4,0.427
2012,5,0.720
2012,6,0.803
2012,7,0.776
2012,8,0.529
2012,9,0.379
2012,10,0.185
2012,11,0.078
2012,12,0.041
2013,1,0.089
2013,2,0.152
2013,3,0.314
2013,4,0.573
2013,5,1.039
2013,6,1.135
2013,7,1.096
2013,8,0.832
2013,9,0.516
2013,10,0.287
2013,11,0.118
2013,12,0.065
2014,1,0.283
2014,2,0.395
2014,3,0.901
2014,4,1.708
2014,5,3.000
2014,6,3.341
2014,7,3.410
2014,8,2.337
2014,9,1.507
2014,10,0.856
2014,11,0.374
2014,12,0.165
2015,1,0.529
2015,2,0.791
2015,3,1.625
2015,4,2.878
2015,5,5.522
2015,6,6.059
2015,7,5.763
2015,8,4.208
2015,9,2.584
2015,10,1.579
2015,11,0.668
2015,12,0.322
2016,1,0.303
2016,2,0.484
2016,3,1.060
2016,4,2.164
2016,5,3.587
2016,6,4.247
2016,7,3.613
2016,8,2.797
2016,9,1.774
2016,10,1.043
2016,11,0.433
2016,12,0.189
2017,1,0.488
2017,2,0.657
2017,3,1.544
2017,4,3.074
2017,5,4.992
2017,6,5.719
2017,7,5.274
2017,8,4.313
2017,9,2.784
2017,10,1.555
2017,11,0.581
2017,12,0.278
2018,1,1.656
2018,2,2.253
2018,3,5.438
2018,4,9.560
2018,5,17.335
2018,6,20.417
2018,7,18.913
2018,8,13.135
2018,9,9.690
2018,10,5.122
2018,11,2.050
2018,12,1.070
2019,1,0.641
2019,2,1.001
2019,3,2.208
2019,4,4.438
2019,5,7.635
2019,6,7.947
2019,7,7.497
2019,8,5.723
2019,9,3.599
2019,10,2.232
2019,11,0.812
2019,12,0.450
2020,1,0.531
2020,2,0.803
2020,3,1.870
2020,4,3.350
2020,5,6.451
2020,6,6.768
2020,7,6.919
2020,8,5.325
2020,9,2.975
2020,10,1.857
2020,11,0.673
2020,12,0.363
2021,1,0.780
2021,2,1.082
2021,3,2.267
2021,4,4.403
2021,5,8.390
2021,6,8.815
2021,7,9.204
2021,8,6.279
2021,9,4.172
2021,10,2.493
2021,11,0.970
2021,12,0.429
2022,1,1.402
2022,2,2.254
2022,3,4.437
2022,4,8.825
2022,5,15.476
2022,6,19.788
2022,7,17.032
2022,8,12.631
2022,9,7.738
2022,10,4.884
2022,11,1.828
2022,12,0.984
2023,1,1.074
2023,2,1.786
2023,3,3.697
2023,4,7.417
2023,5,12.029
2023,6,15.246
2023,7,13.554
2023,8,9.936
2023,9,6.307
2023,10,3.623
2023,11,1.524
2023,12,0.726
2024,1,1.001
2024,2,1.398
2024,3,2.843
2024,4,5.916
2024,5,9.235
2024,6,11.350
2024,7,10.610
2024,8,7.820
2024,9,5.200
2024,10,2.773
2024,11,1.159
2024,12,0.575
2025,1,0.717
2025,2,1.073
2025,3,2.376
2025,4,4.867
2025,5,8.337
2025,6,8.759
2025,7,9.714
2025,8,6.587
2025,9,4.420
2025,10,2.220
2025,11,0.907
2025,12,0.451
2026,1,0.658
2026,2,1.062
2026,3,1.933
2026,4,3.890
2026,5,6.942
2026,6,7.811
2026,7,8.342
2026,8,5.906
2026,9,3.614
2026,10,2.114
2026,11,0.787
2026,12,0.418
